acquisitionInformation.acquisitionParameters.acquisitionSystemName	acquisitionInformation.acquisitionParameters.acquisitionSystemType	acquisitionInformation.acquisitionParameters.antennaToSource_inMeters	acquisitionInformation.acquisitionParameters.cableLength_inMeters	acquisitionInformation.acquisitionParameters.cableReceiverDepthRecorded	acquisitionInformation.acquisitionParameters.cableReceiverDepth_inMeters	acquisitionInformation.acquisitionParameters.channelLength_inMeters	acquisitionInformation.acquisitionParameters.compassBirds	acquisitionInformation.acquisitionParameters.nearChannelNumber	acquisitionInformation.acquisitionParameters.numberOfCables	acquisitionInformation.acquisitionParameters.numberOfChannelsEachCable	acquisitionInformation.acquisitionParameters.numberOfChannelsRecorded	acquisitionInformation.acquisitionParameters.receiverType	acquisitionInformation.acquisitionParameters.recordLength_inSeconds	acquisitionInformation.acquisitionParameters.sampleInterval_inMicroseconds	acquisitionInformation.acquisitionParameters.seismicNavSystem	acquisitionInformation.acquisitionParameters.shotControl	acquisitionInformation.acquisitionParameters.shotInterval_inSecondsOrMeters	acquisitionInformation.acquisitionParameters.sourceArraySeparation_inMeters	acquisitionInformation.acquisitionParameters.sourceDepth_inMeters	acquisitionInformation.acquisitionParameters.sourceNumber	acquisitionInformation.acquisitionParameters.sourcePressure_inBars	acquisitionInformation.acquisitionParameters.sourceToNearChannel_inMeters	acquisitionInformation.acquisitionParameters.sourceType	acquisitionInformation.acquisitionParameters.sourceVolume	acquisitionInformation.acquisitionParameters.sourceVolumeUnits	acquisitionInformation.acquisitionParameters.tailBuoyPositioning	acquisitionInformation.platformInformation.platform	acquisitionInformation.platformInformation.platformOrganization	acquisitionInformation.seismicNavFile.dataFileFormat	acquisitionInformation.seismicNavFile.offsetsApplied	acquisitionInformation.seismicNavFile.surveyDatum	datasetInformation.boundingCoordinates.eastLong	datasetInformation.boundingCoordinates.northLat	datasetInformation.boundingCoordinates.southLat	datasetInformation.boundingCoordinates.westLong	datasetInformation.dataClass	datasetInformation.dataContact.contactInformation.email	datasetInformation.dataContact.contactInformation.name	datasetInformation.dataContact.contactInformation.organization	datasetInformation.dataContact.contactInformation.role	datasetInformation.dataMedia	datasetInformation.dataType	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.email	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.name	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.organization	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.role	datasetInformation.datasetAccessControl.accessControl.accessReleaseDate	datasetInformation.datasetAccessControl.accessControl.accessState	datasetInformation.datasetContentLink	datasetInformation.datasetDescription	datasetInformation.datasetID	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.email	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.name	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.organization	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.role	datasetInformation.datasetProcessing.processingParameters.processingScope	datasetInformation.datasetProcessing.processingParameters.processingStep	datasetInformation.datasetProcessing.processingParameters.processingStepDate	datasetInformation.datasetQualityDescription	datasetInformation.datasetSize	datasetInformation.datasetStartDate.date	datasetInformation.datasetStartDate.dateTypeCode	datasetInformation.datasetTitle	datasetInformation.datasetZipLink	datasetInformation.documentation.citationInformation.author	datasetInformation.documentation.citationInformation.citationDate.date	datasetInformation.documentation.citationInformation.citationDate.dateTypeCode	datasetInformation.documentation.citationInformation.doi	datasetInformation.documentation.citationInformation.journalName	datasetInformation.documentation.citationInformation.onlineLinkage	datasetInformation.documentation.citationInformation.page	datasetInformation.documentation.citationInformation.title	datasetInformation.documentation.citationInformation.volume	datasetInformation.geographicFeatures.featureName	datasetInformation.processedDataClass	datasetInformation.processedMethod	datasetInformation.purpose	datasetInformation.resourceProvider.contactInformation.email	datasetInformation.resourceProvider.contactInformation.name	datasetInformation.resourceProvider.contactInformation.organization	datasetInformation.resourceProvider.contactInformation.role	datasetInformation.seismicDataProvenance	datasetInformation.supplementalInformation	datasetInformation.temporalExtent.endDate	datasetInformation.temporalExtent.startDate	metadataInformation.dateOfSubmission	metadataInformation.metadataContact.contactInformation.email	metadataInformation.metadataContact.contactInformation.name	metadataInformation.metadataContact.contactInformation.organization	metadataInformation.metadataContact.contactInformation.role	metadataInformation.metadataDate	metadataInformation.metadataStandard
DFS-V	digital		3524.09760		13.71600	74.98080					48	Hydrophone_Streamer		2000	Long Range Navigation	Distance	74.98080		8.99160	14		210.31200	SeismicSource_Gun_Air	2682.00000	Cubic Inches				SEGP1	undocumented	NAD27	-86.52861	29.14681	25.72990	-96.00288	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2007-02-22	open	https://walrus.wr.usgs.gov/namss/survey/b-01-82-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-82-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	137.8 MB	1982-02-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1982/namss.B-01-82-LA.mcs.airgun.zip										Louisiana	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1982-02-28	1982-02-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital								1		160	Hydrophone_Streamer	6.00000	4000		Distance	24.99970		12.49680	40		274.01520	SeismicSource_Gun_Air	6000.00000	Cubic Inches		Mobile Search	Mobile E&P Services	SEGP1	undocumented	WGS84	-67.62827	40.72845	40.47707	-68.02356	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2008-05-24	open	https://walrus.wr.usgs.gov/namss/survey/b-01-83-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-83-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	456.9 MB	1983-05-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1983/namss.B-01-83-AT.mcs.airgun.zip										North Atlantic Ocean	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1983-05-31	1983-05-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital	57.91200	2974.23840		11.88720	24.99360			1		120	Hydrophone_Streamer	7.00000	2000		Distance	24.99360		7.92480	18		284.98800	SeismicSource_Gun_Air	3000.00000	Cubic Inches		Sofie Bravo	Digicon	SEGP1	undocumented	NAD83	-65.55663	42.88342	40.84101	-68.43222	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2009-05-25	open	https://walrus.wr.usgs.gov/namss/survey/b-01-84-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-84-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	738.9 MB	1984-05-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1984/namss.B-01-84-AT.mcs.airgun.zip										Gulf of Maine	Migration	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1984-05-31	1984-05-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD83	-71.10319	40.58421	36.40586	-75.86776	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2013-01-31	open	https://walrus.wr.usgs.gov/namss/survey/b-01-88-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-88-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	286.6 MB	1988-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1988/namss.B-01-88-AT.mcs.airgun.zip											Migration, Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1988-01-31	1988-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-92.03407	29.35392	28.26301	-93.18760	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2014-01-31	open	https://walrus.wr.usgs.gov/namss/survey/b-01-89-gm/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-89-GM.mcs.airgun.zip					dataset	Unspecified		Unspecified	3.6 GB	1989-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1989/namss.B-01-89-GM.mcs.airgun.zip											Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1989-01-31	1989-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-88.53340	30.06596	28.59840	-92.36593	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2017-01-17	open	https://walrus.wr.usgs.gov/namss/survey/b-01-92-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-92-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.6 GB	1992-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1992/namss.B-01-92-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1992-01-01	1992-01-01	2017-04-12	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-87.96909	28.56982	27.39675	-93.98586	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2020-01-01	open	https://walrus.wr.usgs.gov/namss/survey/b-01-95-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-95-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	35.0 MB	1995-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1995/namss.B-01-95-LA.mcs.airgun.zip										Gulf of Mexico	Migration, Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1995-01-01	1995-01-01	2020-10-20	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2020-10-23	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-88.44547	30.06727	28.64400	-92.39032	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2017-01-17	open	https://walrus.wr.usgs.gov/namss/survey/b-01a-92-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01a-92-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	3.0 GB	1992-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1992/namss.B-01a-92-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1992-01-01	1992-01-01	2017-04-12	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-III	digital	239.57280	3569.20800						1			Hydrophone_Streamer		4000		Distance	50.29200		3.81000			72.84720	SeismicSource_Gun_Air	1700.00000	Cubic Inches		Atlantic Seal	Digicon	SEGP1	undocumented	NAD83	-74.88113	34.90825	29.23044	-80.19054	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2002-05-25	open	https://walrus.wr.usgs.gov/namss/survey/b-02-77-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-02-77-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.5 GB	1977-05-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.B-02-77-AT.mcs.airgun.zip										Blake Plateau	Migration:Depth, Migration, Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1977-05-31	1977-05-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2017-09-28	Seismic Metadata v.1
DFS-V	digital		2939.18640		10.66800	14.99616			1		75	Hydrophone_Streamer	8.00000	4000			4000.00000		7.62000	14		214.88400	SeismicSource_Gun_Air	2444.00000	Cubic Inches		American III	Teledyne	SEGP1	undocumented	NAD83	-67.10769	41.08964	40.31587	-68.37227	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2004-06-23	open	https://walrus.wr.usgs.gov/namss/survey/b-02-79-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-02-79-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	664.4 MB	1979-06-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.B-02-79-AT.mcs.airgun.zip										Atlantic Ocean	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1979-06-30	1979-06-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital		3599.07840						1		96	Hydrophone_Streamer		2000		Distance	49.98720			25		243.84000	SeismicSource_Gun_Air	2220.00000	Cubic Inches		Gulf Seal	Unspecified	SEGP1	undocumented	NAD83	-74.23390	36.57456	30.46867	-80.35692	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2005-07-25	open	https://walrus.wr.usgs.gov/namss/survey/b-02-80-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-02-80-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.7 GB	1980-07-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1980/namss.B-02-80-AT.mcs.airgun.zip										South Atlantic Ocean	Migration:Depth, Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1980-07-31	1980-07-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Other											Other						N83	undocumented	NAD83	-150.24922	71.07480	70.53068	-153.88936	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2006-04-20	open	https://walrus.wr.usgs.gov/namss/survey/b-02-81-ar/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-02-81-AR.mcs.vibroseis.zip					dataset	Unspecified		Unspecified	423.6 MB	1981-02-20	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-02-81-AR.mcs.vibroseis.zip										Beaufort Sea	Migration, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-04-26	1981-02-20	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital		3561.89280			37.49040			1		96	Hydrophone_Streamer		2000		Distance	37.49040		9.14400	14		224.94240	SeismicSource_Gun_Air	3050.00000	Cubic Inches		Geomar II	Digicon	SEGP1	undocumented	NAD83	-70.47128	40.13045	32.50949	-76.56231	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2007-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-02-82-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-02-82-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	6.5 GB	1982-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1982/namss.B-02-82-AT.mcs.airgun.zip										Mid-south Atlantic Ocean	Migration:Depth, Migration, Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1982-01-31	1982-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital				8.83920	24.99360					120	Hydrophone_Streamer		4000		Distance	24.99360		9.75360				SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-96.31763	26.52624	26.20567	-97.07879	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2008-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-02-83-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-02-83-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	16.5 MB	1983-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1983/namss.B-02-83-TX.mcs.airgun.zip										Texas	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1983-01-31	1983-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
